CIK,DBO_2022,PA_2022,DBO_2023,PA_2023,DBO_2024,PA_2024,tier,outlier_flag,growth_2022,growth_2023,growth_2024
00140955,,,71528292000.0,75572145000.0,84143143000.0,81191520000.0,,,,,
00140964,,,191970766000.0,117587403000.0,237612524000.0,132026628000.0,,,,,
00141246,,,45140336000.0,52177623000.0,47239137000.0,53336880000.0,,,,,
00141529,167042895000.0,217623838000.0,189066058000.0,219680320000.0,214476520000.0,233807710000.0,3_중소형,,1.0,1.1318413632618136,1.2839607455318587
00144395,,,18232785000.0,19617382000.0,19190092000.0,20420899000.0,,,,,
00145109,251584121000.0,323700998000.0,291530235000.0,337838713000.0,321952925000.0,358646412000.0,2_중형,,1.0,1.1587783594656993,1.2797028831561272
00145260,,,43520623000.0,48867902000.0,49685331000.0,51668870000.0,,,,,
00145880,,,908987658000.0,1105630093000.0,1081577529000.0,1148532598000.0,,,,,
00146269,,,3714088000.0,3918160000.0,4213182000.0,4292157000.0,,,,,
00146436,,,29495204000.0,-10473362000.0,39316022000.0,-12017676000.0,,,,,
00146861,,,21414207000.0,24095666000.0,28366187000.0,30723159000.0,,,,,
00148276,,,124625667000.0,140421495000.0,146164196000.0,140525550000.0,,,,,
00148364,5529000000.0,207857000000.0,212206000000.0,227383000000.0,238156000000.0,247963000000.0,4_소형,EXTREME_CHANGE,1.0,38.380538976306745,43.07397359377826
00148540,1469872732000.0,1528317592000.0,1632888344000.0,1608390016000.0,1857763131000.0,1758838227000.0,1_대형,,1.0,1.1109045759207947,1.2638938668330912
00148984,,,63649214000.0,72304504000.0,65258457000.0,68038792000.0,,,,,
00148993,,,535923581021.0,441161278944.0,595221828573.0,467225752096.0,,,,,
00149655,1162699000000.0,1237316000000.0,1267651000000.0,1321391000000.0,1374858000000.0,1404058000000.0,1_대형,,1.0,1.0902658383640134,1.182471129673286
00150633,,,5320565000.0,8469877000.0,6095725000.0,7826017000.0,,,,,
00150828,,,24376982000.0,8719810000.0,25841026000.0,10092549000.0,,,,,
00152385,,,19291928018.0,7550972271.0,22963964211.0,7269373386.0,,,,,
00152862,,,267212508000.0,231307118000.0,300441422000.0,250262895000.0,,,,,
00152880,119783000000.0,93986000000.0,117172000000.0,109726000000.0,117992000000.0,114962000000.0,3_중소형,,1.0,0.978202249067063,0.9850479617307966
00153375,,,21278608399.0,22213565658.0,24646377222.0,24499013444.0,,,,,
00153524,,,32771754000.0,29686345000.0,38238529000.0,33363547000.0,,,,,
00154462,437930000000.0,-643190000000.0,491850000000.0,-617474000000.0,565994000000.0,-644981000000.0,2_중형,,1.0,1.1231247002945677,1.292430297079442
00155151,,,39516101000.0,47017374000.0,46051661000.0,50926170000.0,,,,,
00155212,,,153084428000.0,170143135000.0,125471251000.0,154198518000.0,,,,,
00155258,,,32722855000.0,38362857000.0,35156456000.0,39171524000.0,,,,,
00155319,20560000000.0,2703639000000.0,2476709000000.0,2902714000000.0,2596338000000.0,2962342000000.0,4_소형,EXTREME_CHANGE,1.0,120.4625,126.28103112840466
00155355,,,195485060000.0,-188744603000.0,226636120000.0,190635255000.0,,,,,
00155948,,,15424532748.0,-17138842214.0,12204444089.0,-13199042291.0,,,,,
00156488,,,27737379000.0,40307364000.0,30731177000.0,39636808000.0,,,,,
00157399,,,43437486000.0,15101949000.0,45639230000.0,20152427000.0,,,,,
00157681,64814811000.0,98461620000.0,73520687000.0,99410294000.0,95079596000.0,102855777000.0,3_중소형,,1.0,1.1343192376199323,1.466942424625754
00159023,1038320000000.0,-1214007000000.0,1121679000000.0,1292416000000.0,1142324000000.0,1294567000000.0,1_대형,,1.0,1.0802825718468294,1.100165652207412
