corp_code,corp_name,stock_code,is_listed,n_years,rcept_2020,rcept_2021,rcept_2022,rcept_2023,rcept_2024
00114765,케이비아이동국실업,001620,True,5,20210323000916,20220323000961,20230323001211,20240321000932,20250319000773
00114792,동국홀딩스,001230,True,5,20210326000255,20220324000882,20230316001310,20240329002513,20250318001457
00114808,동국제약,086450,True,5,20210311001130,20220317001170,20230316001371,20240314001722,20250313001454
00115065,동남합성,023450,True,4,20210316000282,,20230314001293,20240312000423,20250311000605
00115287,동방,004140,True,4,,20220317001208,20230323001509,20240321001580,20250320001398
00115384,동방아그로,007590,True,5,20210311000942,20220317000463,20230316000733,20240314000783,20250313000657
00115472,미주제강,002670,True,5,20210324000073,20220325000064,20230324000030,20240326000476,20250327000025
00115612,동부건설,005960,True,3,20210423000012,,20230314001212,20240318000506,
00115676,KG스틸,016380,True,5,20210311001031,20220316001244,20230315000071,20240326000399,20250318001327
00115694,DB증권,016610,True,5,20210322000945,20220316001241,20230321001219,20240318000925,20250317000605
00115931,디오,039840,True,4,20210305000233,,20230317000641,20240315000067,20250331000557
00115977,아이에스동서,010780,True,5,20210318001311,20220317001305,20230323001296,20240321001950,20250319001050
00116073,그린기술투자,025340,True,5,20210331000332,20220331000225,20230331002168,20240401001728,20250331000382
00116268,동성제약,002210,True,5,20210319000344,20220328000201,20230331003352,20240315000555,20250321001375
00116301,NI스틸,008260,True,5,20210311000847,20220310001141,20230316000724,20240314000638,20250313000820
00116356,동성화학,005190,True,1,20210316001101,,,,
00116408,동신건설,025950,True,5,20210326001141,20220318000386,20230317000938,20240319000396,20250319001068
00116426,이렘,009730,True,4,,20220323001277,20230320000372,20240320001102,20250320001298
00116806,하스코,012760,True,5,20210331002482,20220331000080,20230331001184,20240329002301,20250321000556
00116824,동아쏘시오홀딩스,000640,True,5,20210319001153,20220318000656,20230321001017,20240320001846,20250321001899
00116949,DN오토모티브,007340,True,5,20210323000549,20220321001500,20230322001200,20240315000015,20250313001452
00117027,알루코,001780,True,5,20210318000933,20220318000527,20230320000703,20240320001063,20250318000832
00117072,동양건설산업,005900,True,5,20210331001581,20220331002273,20230331003874,20240401003945,20250331003981
00117179,디와이,013570,True,5,20210317000774,20220316000565,20230315001400,20240313001243,20250312001047
00117188,효성,004800,True,5,20210324000507,20220310001203,20230309000903,20240315000695,20250313001006
00117212,두산,000150,True,3,,20220322000813,20230321001440,20240320001953,
00117230,TYM,002900,True,5,20210319000739,20220321001204,20230322001174,20240321000848,20250319000651
00117258,한화갤러리아타임월드,027390,True,1,20210331000627,,,,
00117267,동양생명,082640,True,5,20210520000233,20220323001093,20230322001102,20240430000184,20250331000321
00117276,네이처셀,007390,True,5,20210319001110,20220318001047,20230323001021,20240321001729,20250319000970
00117300,TCC스틸,002710,True,4,20210319000905,,20230316000854,20240320000816,20250319000643
00117337,동양,001520,True,4,20210322001119,20220323000930,20230403003757,20240320001400,
00117498,스틱인베스트먼트,026890,True,5,20210317000940,20220321001468,20230320000673,20240319000556,20250320001381
00117577,오리온홀딩스,001800,True,5,20210310001206,20220316001417,20230315001148,20240313000499,20250318000980
00117601,유안타증권,003470,True,5,20210318000778,20220317000941,20230314000094,20240313000105,20250313000247
00117629,KBI동양철관,008970,True,5,20210315001021,20220321001370,20230320000536,20240318000933,20250317000788
